customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
39,ACC0000039,Stephanie,Brown,1920 Pine Rd,Oakland,CA,61332,USA,1969/08/25,Married,$70K - $90K,M,3,3,Partial High School,01/27/1998,Bronze,Clerical,1
40,ACC0000040,Patricia,Miller,7423 Maple Ave,Honolulu,HI,71683,USA,18-01-1938,M,$70K - $90K,M,0,0,Some College,04/28/1994,Gold,manual,No
41,ACC0000041,Karen,Brown,9922 Pine Rd,San Diego,CA,16576,USA,09 Jan 1971,S,$50K - $70K,MALE,0,0,High School,04/13/1990,Bronze,,Y
42,ACC0000042,wILLIAM,Perez,1684 Maple Ave,Albuquerque,NM,45561,USA,10 Apr 1930,Married,"$70,000-$90,000",M,0,0,Graduate Degree,04 Nov 1996,Gold,Management,Y
43,ACC0000043,Ashley,Hernandez,8271 Maple Ave,Salt Lake City,UT,80896,U.S.A.,01-09-1941,M,$90K - $110K,F,4,1,Some College,1997-03-01,Bronze,Skilled Manual,1
44,ACC0000044,Richard,Lee,9307 Oak Ave,Miami,FL,76851,USA,27-04-1978,M,$110K - $130K,F,2,1,Bachelor's Degree,04 Nov 1996,Silver,Clerical,Y
45,ACC0000045,Barbara,  Ramirez  ,7487 Pine Rd,Milwaukee,wi,53773,USA,1953/02/01,S,50K-70K,F,0,0,Bachelor's Degree,1995/04/08,Silver,,yes
46,ACC0000046,Michael,RAMIREZ,3310 1st St,Tucson,AZ,61031,U.S.A.,1928-12-08,Married,$50K - $70K,F,3,2,Some College,19-02-1998,Silver,Management,N
47,ACC0000047,Michael,Miller,5324 Cedar Ln,Pittsburgh,PA,22993,UNITED STATES,1937-12-02,M,50K-70K,F,4,3,Some College,16-02-1996,Bronze,Manual,1
48,ACC0000048,Nancy,Williams,5471 Main St,NEW YORK,NY,19228,US,1933/10/31,S,$50K - $70K,M,4,4,Bachelor's Degree,21-10-1991,Gold,,Y
49,ACC0000049,Amanda,Harris,9140 River Rd,Cleveland,OH,86620,USA,04-11-1966,M,$90K - $110K,F,0,0,HIGH SCHOOL,05/08/1990,Bronze,Skilled Manual,Y
50,ACC0000050,Anthony,jackson,5533 Oak Ave,Pittsburgh,PA,73121,USA,22 Dec 1975,married,,F,1,1,High School,19-06-1996,Gold,clerical,N
51,ACC0000051,William,Martin,987 Maple Ave,San Diego,CA,63712,U.S.A.,1973/07/17,,$50K - $70K,M,0,0,Bachelor's Degree,23 Dec 1996,Normal,Skilled Manual,Y
52,ACC0000052,Barbara,White,6008 1st St,Denver,CO,,United States,1927/10/30,Married,$30K - $50K,F,0,0,Graduate Degree,1998-03-09,Silver,Management,N
53,ACC0000053,Sandra,Anderson  ,5713 Main St,Pittsburgh,PA,53813,United States,1949/12/03,S,$70K - $90K,F,3,2,High School,01/04/1990,Bronze,Clerical,yes
54,ACC0000054,Joshua,Gonzalez,3851 Oak Ave,Albuquerque,NM,,UNITED STATES,08/11/1964,single,,f,1,1,Graduate Degree,1992-07-04,Normal,Management,N
55,ACC0000055,Charles,Davis,3523 Pine Rd,Minneapolis,MN,12125,usa,1966/01/06,single,$90K - $110K,F,0,0,Some College,1998/09/15,Bronze,Clerical,Yes
56,ACC0000056,Donna,Williams,7078 1st St,Hartford,CT,13357,USA,1977-08-01,M,$90K - $110K,M,2,0,Some College,22 Aug 1996,Normal,Clerical,Y
57,ACC0000057,Lisa,Johnson,1366 Main St,Orlando,FL,54492,USA,23 Feb 1978,M,$70K - $90K,F,0,0,High School,1996-05-30,Gold,mANUAL,Y
58,ACC0000058,Patricia,Davis,4227 Pine Rd,Philadelphia,PA,30940,USA,1977/10/27,S,$30K - $50K,M,0,0,Bachelor's Degree,1996/11/09,Gold,Clerical,Y
59,ACC0000059,John,Walker,2183 1st St,Philadelphia,PA,46996,USA,22 May 1931,S,90K-110K,f,4,1,Graduate Degree,1998-02-04,Silver,pROFESSIONAL,N
60,ACC0000060,Ashley,Smith,2870 Pine Rd,Winnipeg,MB,A7T,Canada,,M,$90K - $110K,Female,3,2,High School,1994/03/06,Normal,sKILLED mANUAL,N
61,ACC0000061,Anthony,Johnson,1467 River Rd,Cheyenne,WY,56043,USA,05/19/1923,married,$50K - $70K,M,3,1,Some College,1992-02-13,Normal,Clerical,Y
62,ACC0000062,Kevin,Hill,2124 Cedar Ln,Hartford,CT,73036,US,12-05-1975,M,$30K - $50K,M,5,2,Partial High School,1996/11/29,Bronze,Management,Yes
63,ACC0000063,Kevin,Wright,2033 Pine Rd,SPOKANE,WA,22519,USA,1964-05-02,S,$30K - $50K,F,2,2,Some College,16 May 1996,Gold,Skilled Manual,No
64,ACC0000064,Sandra,hARRIS,6738 Main St,RALEIGH,NC,61376,USA,07/01/1942,married,$30K - $50K,F,4,2,High School,18-03-1997,Silver,,N
65,ACC0000065,Patricia,Harris,2789 Oak Ave,Salt Lake City,UT,71440,USA,08/24/1953,M,"$30,000-$50,000",F,1,1,High School,1992-05-24,Silver,Management,Y
66,ACC0000066,Ashley,Clark,7112 Maple Ave,MEXICO CITY,DF,229801,méxico,19 Feb 1946,M,,F,3,1,High School,1997/03/17,Gold,Manual,N
67,ACC0000067,bRIAN,Jackson,9968 Pine Rd,Winnipeg,MB,C7B,canada,09-06-1967,S,$50K - $70K,F,2,1,Bachelor's Degree,1998-10-19,Gold,Clerical,Y
68,ACC0000068,Jennifer,Young,2458 River Rd,Memphis,TN,21560,USA,1980-03-07,S,$10K - $30K,M,0,0,Bachelor's Degree,14 Aug 1998,Normal,Professional,Y
69,ACC0000069,sARAH,Young,8810 Cedar Ln,Sacramento,CA,75804,USA,07/25/1961,M,$30K - $50K,FEMALE,5,2,Partial High School,1993/12/06,Bronze,Manual,Y
70,ACC0000070,Joseph,Hernandez,3009 Pine Rd,Raleigh,NC,53058,US,1931/06/02,M,,F,2,0,sOME cOLLEGE,1993-09-09,Normal,Manual,yes
71,ACC0000071,Matthew,Davis,1734 1st St,San Diego,CA,23924,USA,04/29/1953,S,$10K - $30K,F,1,1,Bachelor's Degree,01/02/1993,Gold,Clerical,Y
72,ACC0000072,Edward,Perez,5438 Oak Ave,Boise,ID,73220,USA,1930/03/11,S,$90K - $110K,FEMALE,0,0,Bachelor's Degree,1997/02/09,Normal,MANUAL,yes
73,ACC0000073,Melissa,Walker,4040 River Rd,Buffalo,NY,65147,USA,1974/02/03,Single,$70K - $90K,M,0,0,Some College,1995/10/04,bronze,Management,No
74,ACC0000074,Michael,Martin,5219 1st St,Cheyenne,WY,85844,USA,1970/03/26,S,$10K - $30K,M,0,0,Some College,02/24/1993,Silver,Skilled Manual,0
75,ACC0000075,Sandra,Miller,8497 Cedar Ln,calgary,AB,F7F,Canada,20-11-1953,S,$70K - $90K,M,4,1,Some College,09-05-1997,Bronze,,N
76,ACC0000076,Andrew,Scott,1061 Maple Ave,Monterrey,NL,731381,Mexico,04/10/1954,married,$110K - $130K,F,1,1,Bachelor's Degree,27-10-1992,Bronze,Skilled Manual,yes
77,ACC0000077,David,White,3168 River Rd,Reno,NV,77649,USA,1942/11/29,S,$70K - $90K,MALE,1,1,Some College,18-07-1991,Bronze,Manual,Y
78,ACC0000078,Amanda,Wilson,3738 Pine Rd,Salt Lake City,UT,30153,USA,07 Dec 1978,S,,F,1,1,High School,1997/12/25,Bronze,Management,N
79,ACC0000079,Nancy,Torres,1014 Cedar Ln,San Jose,CA,59269,U.S.A.,1954-05-19,M,$90K - $110K,M,4,4,High School,12/17/1990,Bronze,Clerical,Y
80,ACC0000080,Amanda,Anderson,7384 1st St,SAN ANTONIO,TX,58591,USA,1957/07/22,M,$30K - $50K,f,2,0,Some College,08 Jul 1991,Normal,,Y
81,ACC0000081,Sarah,Lopez,5500 Maple Ave,Chicago,il,76696,usa,10 Jan 1938,S,$70K - $90K,M,1,1,Bachelor's Degree,01-01-1994,Bronze,Skilled Manual,no
82,ACC0000082,melissa,Clark,5295 Maple Ave,sAN dIEGO,CA,24113,UNITED STATES,04/17/1965,Married,$50K - $70K,M,0,0,Bachelor's Degree,1998-08-11,Bronze,,N
83,ACC0000083,Margaret,WILSON,653 Main St,Pittsburgh,PA,56880,USA,24 Jun 1952,M,$30K - $50K,M,0,0,Graduate Degree,03 Jul 1998,Silver,Clerical,Y
84,ACC0000084,Jennifer,Sanchez,8508 Main St,Atlanta,GA,50610,usa,1932/09/23,Married,$70K - $90K,M,2,2,Some College,1997/07/25,Silver,pROFESSIONAL,N
85,ACC0000085,Barbara,Hill,7143 Main St,Tacoma,WA,80782,USA,1951-07-12,M,,Male,2,2,Partial High School,24 Jan 1998,Bronze,Skilled Manual,Y
86,ACC0000086,Michelle,Hill,9041 Maple Ave,Hartford,CT,10390,USA,1951-03-27,M,$10K - $30K,M,0,0,Some College,1997-06-09,Silver,cLERICAL,N
87,ACC0000087,Thomas,Lopez,707 Maple Ave,Tijuana,BC,652157,Mexico,1968-07-03,M,$50K - $70K,M,0,0,High School,08/01/1996,Normal,Skilled Manual,N
88,ACC0000088,Lisa,WALKER,1589 Cedar Ln,Boise,ID,66724,USA,1964-02-07,M,"$50,000-$70,000",M,1,1,Bachelor's Degree,08 Jun 1994,Normal,Professional,N
89,ACC0000089,Linda,Anderson,6304 Oak Ave,Cheyenne,WY,39641,UNITED STATES,05/08/1980,Single,"$10,000-$30,000",M,2,1,Bachelor's Degree,1998/08/09,Silver,Professional,Yes
90,ACC0000090,Elizabeth,Lee,8260 1st St,Orlando,FL,76094,USA,09/27/1924,Single,$50K - $70K,MALE,1,0,Partial High School,21-05-1995,Normal,sKILLED mANUAL,Y
91,ACC0000091,Daniel,  Sanchez  ,8201 Main St,Orlando,FL,27309,United States,05/28/1939,M,$90K - $110K,Male,2,0,High School,1993/10/04,Gold,Manual,Y
92,ACC0000092,Betty,Thompson,6447 Cedar Ln,Raleigh,nc,82035,USA,07 Jan 1941,M,$10K - $30K,M,1,0,Some College,09 Jun 1998,Bronze,Professional,N
93,ACC0000093,Andrew,Thomas,3009 Maple Ave,Oakland,ca,15745,USA,1979/10/20,Single,70K-90K,M,0,0,High School,12/07/1998,normal,Skilled Manual,yes
94,ACC0000094,Sandra,Miller,2304 1st St,Seattle,WA,75974,USA,01/15/1976,Single,150K+,M,4,4,High School,1994/10/02,Silver,Management,Y
95,ACC0000095,william,Robinson,8530 Pine Rd,Columbus,OH,85150,USA,12 Jul 1950,S,"$10,000-$30,000",F,0,0,Some College,1990/05/25,Gold,Clerical,Yes
96,ACC0000096,Betty,Allen,2966 Maple Ave,tacoma,WA,49589,U.S.A.,1976-09-20,S,,F,2,2,Bachelor's Degree,09/01/1997,Gold,Professional,Y
97,ACC0000097,Robert,Wilson,5051 Oak Ave,Newark,NJ,31636,USA,1977/06/12,married,$30K - $50K,M,3,1,High School,1997-06-13,Silver,Clerical,N
98,ACC0000098,Robert,Hill,1885 1st St,Sacramento,CA,88863,usa,1942-04-14,M,$70K - $90K,M,4,1,High School,05/02/1992,Silver,mANUAL,Y
99,ACC0000099,Jessica,Williams,9429 Pine Rd,BUFFALO,ny,98931,USA,,S,50K-70K,Female,0,0,High School,1995-08-11,Normal,Clerical,N
100,ACC0000100,JOSHUA,Wilson,5678 Maple Ave,Columbus,OH,10823,USA,12/26/1960,Single,$50K - $70K,F,0,0,Graduate Degree,07 Oct 1994,Normal,Clerical,N
101,ACC0000101,Karen,Wilson,5581 Pine Rd,Albuquerque,NM,68699,USA,06-11-1975,M,70K-90K,F,1,1,Some College,15 Sep 1994,bRONZE,,Y
102,ACC0000102,Kimberly,Johnson,3803 1st St,Portland,OR,44548,United States,03/01/1964,M,$110K - $130K,M,0,0,Bachelor's Degree,04/03/1993,Bronze,Clerical,N
103,ACC0000103,Carol,Anderson,1197 Main St,tijuana,BC,723848,MEXICO,09/04/1932,M,$50K - $70K,m,0,0,Partial High School,1993/10/02,Bronze,Manual,Y
104,ACC0000104,Elizabeth,Allen,1303 Cedar Ln,Montreal,QC,T4B,Canada,1953-04-21,single,$10K - $30K,F,2,0,Bachelor's Degree,11/28/1992,BRONZE,Management,Y
105,ACC0000105,Daniel,Anderson,3347 River Rd,Guadalajara,JAL,,MEXICO,18-08-1965,M,"$70,000-$90,000",M,1,1,Bachelor's Degree,1997/08/03,Silver,Clerical,N
106,ACC0000106,Melissa,Hernandez,9704 1st St,Salt Lake City,UT,19849,USA,05 Oct 1944,S,$90K - $110K,M,0,0,Some College,15 Oct 1995,Bronze,Clerical,Yes
107,ACC0000107,Donna,Flores,4343 Cedar Ln,iNDIANAPOLIS,IN,97450,USA,31 May 1978,married,$30K - $50K,F,0,0,High School,15 Sep 1996,Bronze,Skilled Manual,yes
108,ACC0000108,Elizabeth,  Nguyen,2293 1st St,Houston,TX,30334,United States,1927/04/21,M,$10K - $30K,M,4,0,High School,05-06-1994,Silver,Manual,N
109,ACC0000109,Donald,Allen,6290 Pine Rd,Indianapolis,IN,63716,USA,08/04/1955,S,,MALE,0,0,High School,25 Mar 1997,Silver,Skilled Manual,Y
110,ACC0000110,Betty,Wilson,8236 Main St,Albuquerque,nm,90802,UNITED STATES,05/10/1941,M,$90K - $110K,M,0,0,Some College,24-02-1991,Bronze,CLERICAL,Y
111,ACC0000111,Linda,Taylor,9319 Cedar Ln,San Antonio,TX,10676,USA,07/22/1970,Married,$50K - $70K,F,0,0,Bachelor's Degree,25 Oct 1993,Normal,Manual,1
112,ACC0000112,Christopher,Williams,1192 1st St,Dallas,TX,69797,USA,17 Dec 1960,married,$30K - $50K,M,1,1,High School,05/12/1992,SILVER,Management,N
113,ACC0000113,Carol,King,4988 1st St,Tucson,AZ,80693,USA,1969/03/26,S,$70K - $90K,m,0,0,HIGH SCHOOL,23-02-1998,Bronze,Professional,N
114,ACC0000114,Donna,Gonzalez,9893 Pine Rd,Atlanta,GA,,U.S.A.,1922-01-16,Married,$90K - $110K,M,4,3,High School,01-12-1997,Silver,Manual,Y
115,ACC0000115,Deborah,Clark,814 1st St,Toronto,ON,N4F,can.,19 Apr 1979,S,,F,0,0,graduate degree,12-10-1998,Silver,Skilled Manual,Y
116,ACC0000116,Amanda,Brown,3509 Pine Rd,Los Angeles,CA,62783,usa,1958/05/26,M,"$70,000-$90,000",MALE,2,0,Bachelor's Degree,1991-09-26,Silver,Clerical,N
117,ACC0000117,richard,Gonzalez,9823 Cedar Ln,Guadalajara,JAL,179741,Mexico,1972-03-26,S,90K-110K,Female,2,0,Some College,08/29/1994,Silver,Skilled Manual,yes
118,ACC0000118,Robert,  Allen,169 Oak Ave,Montreal,QC,T3Y,can.,09/15/1976,M,$10K - $30K,M,1,0,Some College,15 Aug 1997,Bronze,Skilled Manual,N
119,ACC0000119,Brian,Martinez,2807 River Rd,Boise,ID,34439,USA,22 Dec 1960,S,$90K - $110K,Female,0,0,Some College,06/07/1993,Normal,Professional,Y
120,ACC0000120,Barbara,Young,8408 Pine Rd,Miami,fl,98567,USA,1955/11/10,S,$110K - $130K,M,3,0,Some College,1998/05/30,Gold,Management,N
121,ACC0000121,Susan,Martin,4210 Maple Ave,Hartford,CT,86752,USA,1946-05-19,M,$90K - $110K,M,2,1,High School,14-03-1993,Silver,Professional,Y
122,ACC0000122,Ashley,Martinez,1582 River Rd,Pittsburgh,PA,69620,USA,09/20/1978,M,$30K - $50K,M,0,0,Partial High School,1998-01-28,Bronze,Skilled Manual,N
123,ACC0000123,Michael,Clark,8168 Cedar Ln,Mexico City,DF,417587,Mexico,,married,"$110,000-$130,000",F,1,0,High School,13 Jan 1991,Gold,Professional,no
124,ACC0000124,Betty,Flores,322 River Rd,Calgary,AB,R2F,Canada,1958/07/01,M,$90K - $110K,M,1,0,Partial High School,05/15/1998,Gold,Manual,Y
125,ACC0000125,Brian,Davis,98 Pine Rd,Mexico City,DF,414173,mexico,28 Jul 1934,S,$70K - $90K,F,4,3,HIGH SCHOOL,17-02-1995,Silver,Professional,Y
126,ACC0000126,Nancy,Anderson,9552 Oak Ave,Spokane,WA,62612,USA,18 Mar 1963,S,$30K - $50K,M,1,1,Bachelor's Degree,17-04-1993,Bronze,Skilled Manual,N
127,ACC0000127,Paul,Taylor,7433 River Rd,Los Angeles,CA,20921,USA,1950-01-27,M,,M,0,0,Graduate Degree,20-11-1998,Gold,Manual,Y
128,ACC0000128,Carol,Robinson,6021 Maple Ave,Pittsburgh,PA,79113,US,04/07/1928,married,$70K - $90K,m,1,1,Bachelor's Degree,31 Jul 1997,Bronze,Clerical,N
129,ACC0000129,Andrew,Rodriguez,8675 Maple Ave,Cleveland,OH,43872,USA,1926-06-14,Single,$50K - $70K,F,0,0,Bachelor's Degree,23 May 1991,Silver,Professional,Y
130,ACC0000130,Robert,Thompson,651 Maple Ave,BOISE,ID,77995,USA,03 May 1960,M,$50K - $70K,M,2,2,High School,1990/04/15,Silver,skilled manual,N
131,ACC0000131,Deborah,Taylor,3100 River Rd,Austin,TX,47778,USA,1968-06-17,Single,30K-50K,F,1,0,Some College,1991-02-02,Normal,Management,Y
132,ACC0000132,William,Lewis,5262 Maple Ave,Salt Lake City,UT,82780,USA,17-11-1936,Married,$30K - $50K,F,3,2,Some College,05 Oct 1994,NORMAL,,No
133,ACC0000133,Lisa,  Nguyen,4340 River Rd,Minneapolis,MN,61541,USA,20-03-1965,S,$90K - $110K,FEMALE,0,0,High School,03/25/1996,Silver,Clerical,Y
134,ACC0000134,Patricia,White,167 1st St,Memphis,TN,86624,U.S.A.,06/08/1955,M,$70K - $90K,F,1,0,High School,1990-06-05,bronze,Manual,No
135,ACC0000135,Donald,Ramirez,8840 Oak Ave,Billings,MT,18833,USA,07 Mar 1950,S,$70K - $90K,F,5,4,Some College,1991/05/06,Bronze,Clerical,Yes
136,ACC0000136,George,White,332 River Rd,Phoenix,AZ,,U.S.A.,1948-02-01,M,"$50,000-$70,000",M,0,0,Bachelor's Degree,1990-02-19,Silver,SKILLED MANUAL,Y
137,ACC0000137,James,Martin,1501 Main St,Fresno,CA,,USA,03/07/1948,,$70K - $90K,MALE,0,0,Bachelor's Degree,10-02-1991,Bronze,Manual,0
138,ACC0000138,Mary,Williams,1235 Cedar Ln,Oakland,CA,23259,USA,1951/02/02,M,70K-90K,Female,1,0,Some College,12-06-1996,Normal,Manual,Y
139,ACC0000139,Donna,SCOTT,4806 River Rd,Monterrey,NL,,Mexico,06/27/1957,M,70K-90K,M,0,0,Some College,23-10-1995,Silver,Management,No
140,ACC0000140,Matthew,  Gonzalez  ,6727 Main St,TUCSON,AZ,16476,USA,06/19/1941,M,$30K - $50K,F,4,0,Some College,12-10-1997,Bronze,Professional,N
141,ACC0000141,William,Miller,7654 Main St,Austin,TX,21932,USA,09/15/1961,M,$10K - $30K,M,1,0,Bachelor's Degree,13 Mar 1991,Gold,Clerical,1
142,ACC0000142,Barbara,Allen,8078 Cedar Ln,Guadalajara,JAL,794639,méxico,1978/04/03,S,90K-110K,F,1,0,Some College,1998-10-23,Silver,Professional,N
143,ACC0000143,William,anderson,9009 1st St,Dallas,TX,32655,USA,10 Mar 1964,S,10K-30K,M,5,0,Bachelor's Degree,06/06/1996,Bronze,Skilled Manual,1
144,ACC0000144,Betty,Scott,2330 1st St,Calgary,AB,U0Z,canada,23 Sep 1964,S,$30K - $50K,M,2,2,Bachelor's Degree,10/02/1997,Silver,Management,yes
145,ACC0000145,Susan,Young,119 Oak Ave,Buffalo,NY,30802,USA,31-05-1971,M,$90K - $110K,F,1,0,Bachelor's Degree,16-09-1992,Silver,Clerical,Y
146,ACC0000146,William,Nguyen,8378 River Rd,Cleveland,OH,59711,USA,1965-01-26,single,,F,2,2,Graduate Degree,17 Oct 1998,Silver,Skilled Manual,N
147,ACC0000147,Richard,Thomas,4099 Cedar Ln,Charlotte,NC,99424,USA,1938-05-06,M,$90K - $110K,F,3,3,Bachelor's Degree,08-10-1996,Silver,Clerical,Y
148,ACC0000148,David,WALKER,6513 1st St,Philadelphia,PA,35507,USA,25 Oct 1972,M,130K-150K,Male,0,0,Bachelor's Degree,02/03/1993,Normal,Clerical,Y
149,ACC0000149,Margaret,Wilson,558 Maple Ave,Tijuana,BC,496818,Mexico,04/14/1970,single,$30K - $50K,MALE,0,0,Partial High School,26-09-1994,Bronze,Manual,Yes
150,ACC0000150,Edward,Perez,8100 River Rd,Tacoma,WA,67495,USA,1960-06-25,Married,$50K - $70K,MALE,0,0,Graduate Degree,11/26/1993,NORMAL,Skilled Manual,Y
151,ACC0000151,Kimberly,King,6241 Pine Rd,mONTREAL,QC,E5P,Canada,1946/09/30,single,$30K - $50K,F,0,0,High School,26 Jan 1990,Normal,Clerical,0
